city,ZipCode,Price,HospitalDistance,Bank/ATM,SchoolDistance,SoldDate,BiddedDate,DistToTown,isfloodedArea,IsTsunmaiAlertedArea,Latitude,Longtitude
Athurugiriya,10150,1090000,4,4,0.5,,3/25/2026,0.4,0,0,6.8922,79.9428
Athurugiriya,10150,810000,4,4,0.9,,3/24/2026,0.8,0,0,6.8922,79.9428
Athurugiriya,10150,186875,2.4,4,0.9,,3/25/2026,0.4,0,0,6.8922,79.9428
Athurugiriya,10150,1475000,2.4,4,0.9,,3/25/2026,0.8,0,0,6.8922,79.9428
Athurugiriya,10150,1175000,4,4,0.4,,3/25/2026,0.5,0,0,6.8922,79.9428
Athurugiriya,10150,850000,4,4,0.6,,3/25/2026,0.5,0,0,6.8922,79.9428
Athurugiriya,10150,850000,0.9,4,0.9,,3/25/2026,0.4,0,0,6.8922,79.9428
Athurugiriya,10150,1495000,2.4,4,0.9,,3/25/2026,3,0,0,6.8922,79.9428
Athurugiriya,10150,1490000,2.4,4,0.8,,3/24/2026,3,0,0,6.8922,79.9428
Athurugiriya,10150,1495000,4,4,0.9,,3/25/2026,1,0,0,6.8922,79.9428
Athurugiriya,10150,1495000,2.4,4,0.9,,3/25/2026,0.85,0,0,6.8922,79.9428
Attanagalla,11120,297500,4.5,4.5,0.4,,3/25/2026,5.1,0,0,7.1152,80.1341
Bandaragama,12530,200000,1.5,1.5,0.5,,3/25/2026,2.3,0,0,6.7118,79.988
Battaramulla,10120,2350000,0.9,1.2,0.6,,3/25/2026,2.3,0,0,6.9017,79.9192
Boralesgamuwa,10290,2700000,3.5,3.5,0.2,,3/25/2026,0.4,0,0,6.85,79.9
Boralesgamuwa,10290,2800000,1.8,0.9,0.2,,3/25/2026,0.3,0,0,6.85,79.9
Boralesgamuwa,10290,7380074,1.5,2.4,0.2,,3/25/2026,0.12,0,0,6.85,79.9
Colombo 04,400,15000000,1.8,2.5,0.5,,3/25/2026,0.1,0,1,6.8875,79.86
Colombo 04,400,15000000,2.5,2.5,0.5,,3/25/2026,0.15,0,1,6.8875,79.86
Colombo 06,600,11000000,2,2,0.5,,3/25/2026,0.3,0,1,6.8744,79.8606
Colombo 5,500,19642857,1.8,1,1.4,,3/25/2026,0.1,0,0,6.8913,79.8732
Colombo 6,600,8000000,2,2,0.5,,3/25/2026,0.2,0,1,6.8744,79.8606
Dehiwala,10350,6600000,2.5,2.5,1,,3/24/2026,0.3,0,1,6.8511,79.868
Dehiwala,10350,3549246,2.5,2.5,1,,3/25/2026,0.1,0,1,6.8511,79.868
Embuldeniya,10250,4000000,2.5,2.5,1.2,,3/25/2026,0.9,0,0,6.8647,79.9077
Giriulla,60140,155000,0.7,1,0.3,,3/25/2026,0.3,0,0,7.3236,80.1225
Handapangoda,10500,225000,8.5,8.5,0.6,,3/25/2026,0.2,0,0,6.7865,80.1009
Hokandara,10118,975000,4.5,3.1,0.9,,3/25/2026,0.1,0,0,6.8778,79.9458
Homagama,10200,395000,1.3,1.5,1.7,,3/25/2026,0.1,0,0,6.8433,80.0032
Homagama,10200,550000,1.5,1.5,0.6,,3/25/2026,0.3,0,0,6.8433,80.0032
