city,ZipCode,Price,HospitalDistance,Bank/ATM,SchoolDistance,SoldDate,BiddedDate,DistToTown,isfloodedArea,IsTsunmaiAlertedArea,Latitude,Longtitude
colombo-07,700,89866219.59,0.0516,0.05,0.05,8/13/2017,9/19/2016,0.06,1,0,6.906667,79.863333
colombo-07,700,89853604.76,0.052,0.05,0.06,8/12/2017,2/10/2013,0.06,0,0,6.906667,79.863333
colombo-07,700,89828462.12,0.0606,0.05,0.06,8/11/2017,9/6/2015,0.06,1,0,6.906667,79.863333
colombo-07,700,89665852.59,0.0621,0.06,0.06,8/11/2017,2/6/2018,0.06,1,0,6.906667,79.863333
colombo-07,700,89535688.25,0.0624,0.06,0.06,8/10/2017,10/3/2017,0.07,0,0,6.906667,79.863333
colombo-07,700,89305210.2,0.0668,0.06,0.06,8/9/2017,1/22/2015,0.07,0,0,6.906667,79.863333
colombo-07,700,89200305.66,0.0704,0.06,0.07,8/9/2017,6/28/2017,0.08,1,0,6.906667,79.863333
colombo-07,700,89195565.28,0.0712,0.06,0.07,8/9/2017,12/8/2016,0.08,0,0,6.906667,79.863333
colombo-07,700,88942113.15,0.0744,0.06,0.08,8/6/2017,5/14/2015,0.08,0,0,6.906667,79.863333
colombo-07,700,88850017.77,0.0745,0.07,0.08,8/6/2017,4/10/2016,0.08,1,0,6.906667,79.863333
Kollupitiya,300,88830005.53,0.0757,0.07,0.09,8/5/2017,7/25/2014,0.08,0,0,6.900556,79.853333
Kollupitiya,300,88524447.22,0.0783,0.08,0.09,7/30/2017,6/10/2015,0.08,1,0,6.900556,79.853333
Kollupitiya,300,88355206.84,0.0784,0.08,0.09,7/30/2017,,0.09,0,0,6.900556,79.853333
Kollupitiya,300,88259438.42,0.0788,0.08,0.09,7/30/2017,2/9/2017,0.09,1,0,6.900556,79.853333
Kollupitiya,300,88220510.56,0.0809,0.08,0.09,7/28/2017,9/28/2016,0.09,0,0,6.900556,79.853333
Kollupitiya,300,88142243.35,0.0819,0.08,0.1,7/28/2017,6/29/2012,0.09,0,0,6.900556,79.853333
Kollupitiya,300,88115611.86,0.085,0.09,0.1,7/28/2017,,0.1,0,0,6.900556,79.853333
Kollupitiya,300,88059652.51,0.0859,0.09,0.1,7/26/2017,1/25/2014,0.1,1,0,6.900556,79.853333
Kollupitiya,300,87786135.87,0.0884,0.1,0.11,7/24/2017,8/21/2012,0.1,0,0,6.900556,79.853333
Kollupitiya,300,87725784.78,0.0888,0.1,0.11,7/22/2017,5/8/2015,0.1,1,0,6.900556,79.853333
Kollupitiya,300,87717077.82,0.1074,0.11,0.11,7/20/2017,1/6/2014,0.11,1,0,6.900556,79.853333
Bambalapittiya,400,87569784.45,0.1117,0.11,0.11,7/20/2017,10/8/2016,0.12,0,0,6.888889,79.856667
Bambalapittiya,400,87482716.95,0.1211,0.13,0.11,7/15/2017,4/30/2012,0.12,1,0,6.888889,79.856667
Bambalapittiya,400,87410140.98,0.1218,0.13,0.11,7/14/2017,8/9/2012,0.14,1,0,6.888889,79.856667
Bambalapittiya,400,87407103.4,0.1257,0.13,0.12,7/13/2017,11/16/2014,0.14,0,0,6.888889,79.856667
Bambalapittiya,400,87196375.88,0.1271,0.13,0.12,7/11/2017,6/25/2013,0.14,0,0,6.888889,79.856667
Bambalapittiya,400,87140174.92,0.1272,0.13,0.13,7/8/2017,6/27/2014,0.14,0,0,6.888889,79.856667
Bambalapittiya,400,86980382.61,0.128,0.14,0.13,7/4/2017,12/9/2012,0.15,0,0,6.888889,79.856667
Bambalapittiya,400,86899484.71,0.1284,0.14,0.13,7/4/2017,,0.15,0,0,6.888889,79.856667
Bambalapittiya,400,86881777.37,0.1322,0.14,0.13,7/1/2017,2/1/2013,0.15,1,0,6.888889,79.856667
Bambalapittiya,400,86826209.62,0.1342,0.15,0.13,7/1/2017,1/21/2017,0.15,0,0,6.888889,79.856667
Bambalapittiya,400,86708683.54,0.1367,0.15,0.14,6/30/2017,2/24/2014,0.15,1,0,6.888889,79.856667
Bambalapittiya,400,86264754.81,0.137,0.15,0.14,6/27/2017,4/29/2018,0.15,1,0,6.888889,79.856667
Bambalapittiya,400,86215561.41,0.1413,0.16,0.14,6/26/2017,12/25/2016,0.16,1,0,6.888889,79.856667
Bambalapittiya,400,86192597.14,0.1416,0.16,0.14,6/25/2017,,0.16,0,0,6.888889,79.856667
Bambalapittiya,400,86122773.1,0.1475,0.16,0.15,6/22/2017,10/19/2016,0.17,1,0,6.888889,79.856667
Bambalapittiya,400,86107245.07,0.1486,0.16,0.15,6/22/2017,5/11/2014,0.17,0,0,6.888889,79.856667
Bambalapittiya,400,85949824.57,0.1518,0.17,0.16,6/19/2017,3/23/2012,0.17,1,0,6.888889,79.856667
Bambalapittiya,400,85781144.03,0.1546,0.17,0.16,6/18/2017,5/4/2015,0.17,0,0,6.888889,79.856667
Bambalapittiya,400,85687424.36,0.1636,0.17,0.16,6/14/2017,3/7/2017,0.18,0,0,6.888889,79.856667
Bambalapittiya,400,85666922.53,0.1678,0.18,0.16,6/13/2017,7/4/2016,0.18,1,0,6.888889,79.856667
Bambalapittiya,400,85666757.95,0.168,0.18,0.16,6/7/2017,3/31/2012,0.18,0,0,6.888889,79.856667
Bambalapittiya,400,85569369.27,0.1712,0.19,0.16,6/5/2017,3/31/2016,0.18,1,0,6.888889,79.856667
Bambalapittiya,400,85522577.13,0.1718,0.2,0.17,5/26/2017,10/19/2017,0.2,1,0,6.888889,79.856667
Bambalapittiya,400,85335045.08,0.1741,0.2,0.17,5/21/2017,8/1/2012,0.2,1,0,6.888889,79.856667
Bambalapittiya,400,85229161.42,0.1755,0.2,0.17,5/21/2017,2/17/2015,0.2,0,0,6.888889,79.856667
Bambalapittiya,400,85177882.44,0.1796,0.2,0.17,5/17/2017,11/22/2013,0.2,0,0,6.888889,79.856667
Havelock Town,500,85068253.02,0.1806,0.2,0.18,5/15/2017,12/7/2014,0.21,0,0,6.879444,79.865278
Havelock Town,500,84954641.71,0.1808,0.2,0.18,5/14/2017,11/9/2015,0.22,0,0,6.879444,79.865278
Havelock Town,500,84837183.03,0.1814,0.21,0.18,5/13/2017,4/1/2012,0.22,1,0,6.879444,79.865278
Havelock Town,500,84688558.73,0.1823,0.21,0.18,5/12/2017,5/13/2016,0.23,1,0,6.879444,79.865278
Havelock Town,500,84683205.11,0.1885,0.22,0.18,5/12/2017,12/5/2013,0.23,1,0,6.879444,79.865278
Havelock Town,500,84637483.97,0.191,0.22,0.18,5/11/2017,2/23/2013,0.23,1,0,6.879444,79.865278
Havelock Town,500,84542443.39,0.1961,0.22,0.19,5/4/2017,9/22/2013,0.24,0,0,6.879444,79.865278
Havelock Town,500,84502493.7,0.1971,0.22,0.2,4/30/2017,6/8/2014,0.24,1,0,6.879444,79.865278
Havelock Town,500,84475699.18,0.1975,0.23,0.2,4/30/2017,12/4/2015,0.24,0,0,6.879444,79.865278
Havelock Town,500,84440520.39,0.1996,0.23,0.2,4/29/2017,4/23/2018,0.24,0,0,6.879444,79.865278
Havelock Town,500,84402508.27,0.2028,0.23,0.21,4/23/2017,3/14/2016,0.24,0,0,6.879444,79.865278
Havelock Town,500,84330297.13,0.203,0.24,0.21,4/21/2017,5/1/2015,0.25,1,0,6.879444,79.865278
Havelock Town,500,84292668.34,0.2061,0.24,0.21,4/18/2017,10/18/2014,0.25,0,0,6.874657,79.860483
Wellawatha,600,84235588.32,0.2075,0.24,0.21,4/15/2017,,0.26,1,0,6.874657,79.860483
Wellawatha,600,84226516.22,0.2075,0.24,0.21,4/12/2017,6/3/2012,0.26,1,0,6.874657,79.860483
Wellawatha,600,84143457.84,0.2075,0.25,0.22,4/12/2017,3/16/2017,0.26,0,0,6.874657,79.860483
Wellawatha,600,84095770,0.2138,0.25,0.22,4/10/2017,4/21/2018,0.26,0,0,6.874657,79.860483
Wellawatha,600,83975984.77,0.2146,0.26,0.22,4/4/2017,11/24/2017,0.29,1,0,6.874657,79.860483
Wellawatha,600,83909709.84,0.2175,0.26,0.22,3/31/2017,2/26/2017,0.3,0,0,6.874657,79.860483
Wellawatha,600,83834003.44,0.2197,0.26,0.23,3/30/2017,8/9/2016,0.3,1,0,6.874657,79.860483
Wellawatha,600,83757470.34,0.2199,0.26,0.24,3/28/2017,1/26/2018,0.3,1,0,6.874657,79.860483
Wellawatha,600,83743441.15,0.2242,0.27,0.25,3/26/2017,7/24/2017,0.31,1,0,6.874657,79.860483
Wellawatha,600,83717244.45,0.2335,0.27,0.25,3/26/2017,6/29/2017,0.31,0,0,6.874657,79.860483
Wellawatha,600,83675187.41,0.2376,0.28,0.25,3/25/2017,11/6/2015,0.31,1,0,6.874657,79.860483
Wellawatha,600,83633857.77,0.2382,0.28,0.26,3/24/2017,7/14/2013,0.31,0,0,6.874657,79.860483
Dehiwala,10350,83599639.33,0.2445,0.28,0.26,3/24/2017,9/7/2017,0.32,1,0,6.873056,6.873056
Dehiwala,10350,83554854.98,0.2446,0.28,0.26,3/21/2017,6/22/2016,0.32,0,0,6.873056,6.873056
Dehiwala,10350,83492665.2,0.2487,0.29,0.26,3/20/2017,2/16/2018,0.32,1,0,6.873056,6.873056
Dehiwala,10350,83480713.82,0.2546,0.3,0.27,3/14/2017,2/13/2012,0.32,0,0,6.873056,6.873056
Dehiwala,10350,83424562.18,0.2646,0.31,0.27,3/13/2017,1/9/2015,0.33,0,0,6.873056,6.873056
Dehiwala,10350,83239463.76,0.27,0.31,0.27,3/13/2017,5/18/2016,0.33,0,0,6.873056,6.873056
